varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value              : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :     0 : 2.1366220886694554 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :     0 :  2.229415319435358 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     0 :  2.855647459862502 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     0 :  2.918142248015307 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     0 :   1.59171125845289 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     0 : 1.6758576983912659 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=273, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
    (0.654832, 'C') :  0.05 :  0.07370159832788971 :   1.0 : False : False : NonNegativeReals
    (0.654832, 'D') :   0.0 :   1.8525968033442677 :   1.9 : False : False : NonNegativeReals
    (0.666667, 'B') :  0.05 :   0.0719227205360053 :   1.0 : False : False : NonNegativeReals
    (0.666667, 'C') :  0.05 :   0.0719227205360053 :   1.0 : False : False : NonNegativeReals
    (0.666667, 'D') :   0.0 :   1.8561545589280333 :   1.9 : False : False : NonNegativeReals
    (0.671835, 'B') :  0.05 :  0.07117189619396536 :   1.0 : False : False : NonNegativeReals
    (0.671835, 'C') :  0.05 :  0.07117189619396534 :   1.0 : False : False : NonNegativeReals
    (0.671835, 'D') :   0.0 :   1.8576562076121133 :   1.9 : False : False : NonNegativeReals
    (0.688165, 'B') :  0.05 :  0.06889537496767492 :   1.0 : False : False : NonNegativeReals
    (0.688165, 'C') :  0.05 :  0.06889537496767491 :   1.0 : False : False : NonNegativeReals
    (0.688165, 'D') :   0.0 :   1.8622092500646925 :   1.9 : False : False : NonNegativeReals
         (0.7, 'B') :  0.05 :  0.06733195867675312 :   1.0 : False : False : NonNegativeReals
         (0.7, 'C') :  0.05 :  0.06733195867675312 :   1.0 : False : False : NonNegativeReals
         (0.7, 'D') :   0.0 :   1.8653360826465333 :   1.9 : False : False : NonNegativeReals
    (0.705168, 'B') :  0.05 :  0.06667091076408516 :   1.0 : False : False : NonNegativeReals
    (0.705168, 'C') :  0.05 :  0.06667091076408516 :   1.0 : False : False : NonNegativeReals
    (0.705168, 'D') :   0.0 :   1.8666581784718697 :   1.9 : False : False : NonNegativeReals
    (0.721498, 'B') :  0.05 :  0.06466733873745424 :   1.0 : False : False : NonNegativeReals
    (0.721498, 'C') :  0.05 :  0.06466733873745426 :   1.0 : False : False : NonNegativeReals
    (0.721498, 'D') :   0.0 :     1.87066532252513 :   1.9 : False : False : NonNegativeReals
    (0.733333, 'B') :  0.05 :   0.0632927424847906 :   1.0 : False : False : NonNegativeReals
    (0.733333, 'C') :  0.05 :  0.06329274248479061 :   1.0 : False : False : NonNegativeReals
    (0.733333, 'D') :   0.0 :    1.873414515030454 :   1.9 : False : False : NonNegativeReals
    (0.738501, 'B') :  0.05 :  0.06271197550269667 :   1.0 : False : False : NonNegativeReals
    (0.738501, 'C') :  0.05 :  0.06271197550269667 :   1.0 : False : False : NonNegativeReals
    (0.738501, 'D') :   0.0 :   1.8745760489946421 :   1.9 : False : False : NonNegativeReals
    (0.754832, 'B') :  0.05 : 0.060950768574516534 :   1.0 : False : False : NonNegativeReals
    (0.754832, 'C') :  0.05 :  0.06095076857451654 :   1.0 : False : False : NonNegativeReals
    (0.754832, 'D') :   0.0 :   1.8780984628510007 :   1.9 : False : False : NonNegativeReals
    (0.766667, 'B') :  0.05 :  0.05974057193517105 :   1.0 : False : False : NonNegativeReals
    (0.766667, 'C') :  0.05 :  0.05974057193517106 :   1.0 : False : False : NonNegativeReals
    (0.766667, 'D') :   0.0 :   1.8805188561296888 :   1.9 : False : False : NonNegativeReals
    (0.771835, 'B') :  0.05 : 0.059234204925268284 :   1.0 : False : False : NonNegativeReals
    (0.771835, 'C') :  0.05 :   0.0592342049252683 :   1.0 : False : False : NonNegativeReals
